PGE1	PGE2	15-keto PGE2	13,14dh-15k-PGE2	PGA2	PGE3	PGD2	PGJ2	D12-PGJ2	13,14dh-15k-PGD2	PGF1a	PGF2a	15-keto PGF2a	8-isoPGF2a & 11bPGF2a	6kPGF1a	TXB2	2,3-dinor TXB2	LTB4	5(S),12(S)-DiHETE	5(S),15(S)-DiHETE	9-HODE	13-HODE	9(S)-HOTrE	13(S)-HOTrE	11(R)-HEDE	15(S)-HEDE	8(S)-HETrE	5(S)-HETrE	5-HETE	8-HETE	11-HETE	12-HETE	15-HETE	tetranor 12-HETE	12(S)-HHTrE	5-HEPE	8-HEPE	9-HEPE	11-HEPE	12-HEPE	15(S)-HEPE	18-HEPE	4-HDoHE	7-HDoHE	8-HDoHE	10-HDoHE	11-HDoHE	13-HDoHE	14-HDoHE	16-HDoHE	17-HDoHE	20-HDoHE	9(10)-EpOME	12(13)-EpOME	5(6)-EpETrE	11(12)-EpETrE	14(15)-EpETrE	17(18)-EpETE	7(8)-EpDPE	10(11)-EpDPE	13(14)-EpDPE	16(17)-EpDPE	19(20)-EpDPE	9,10-DiHOME	12,13-DiHOME	8,9-DiHETrE	11,12-DiHETrE	14,15-DiHETrE	19,20-DiHDoPE	9-OxoODE	13-OxoODE	9-OxoOTrE	15-OxoEDE	5-oxoETE	15-OxoETE	LXA4	AT-RvD3	RvD6 (4,17-DiHDoHE)	PD1	10S,17S-DiHDoHE
60	129	132	120	60	60	133	60	129	60	75	132	129	133	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	75	120	133	75	60	133	132	132	120	60	132	129	129	60	120	129	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	133	60	60	75	129	132	75	120	133	75	60	133	132	132	120	60	132	129	129	60	120	129	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	133	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	75	120	133	75	60	133	132	132	120	129	132	129	129	60	120	120	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	134	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	75	120	133	75	60	133	132	132	120	60	132	129	129	60	120	129	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	75	120	133	75	60	133	132	132	120	60	132	129	60	60	120	120	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	75	120	133	75	60	133	132	132	120	60	132	60	60	60	120	120	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	120	120	133	75	60	133	132	132	120	60	132	129	129	60	120	129	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	133	60	60	75	129	132	75	120	133	75	60	133	132	132	120	129	132	129	129	60	120	134	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	129	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	75	120	133	75	60	133	132	132	120	60	132	129	129	60	120	129	133	120	132	75	129	75	133	133	129	75	60	60
60	129	132	120	60	60	133	60	129	60	75	132	129	60	60	60	133	75	75	120	132	60	75	60	75	60	75	120	132	133	60	75	133	129	129	120	120	75	120	75	129	120	75	75	75	132	60	60	60	75	129	132	75	120	133	75	60	133	132	132	120	60	132	129	129	60	120	129	133	120	132	75	129	75	133	133	129	75	60	60
