	PGE1	PGE2	15-keto PGE2	13,14dh-15k-PGE2	PGA2	PGE3	PGD2	PGJ2	D12-PGJ2	13,14dh-15k-PGD2	PGF1a	PGF2a	15-keto PGF2a	8-isoPGF2a & 11bPGF2a	6kPGF1a	TXB2	2,3-dinor TXB2	LTB4	5(S),12(S)-DiHETE	5(S),15(S)-DiHETE	9-HODE	13-HODE	9(S)-HOTrE	13(S)-HOTrE	11(R)-HEDE	15(S)-HEDE	8(S)-HETrE	5(S)-HETrE	5-HETE	8-HETE	11-HETE	12-HETE	15-HETE	tetranor 12-HETE	12(S)-HHTrE	5-HEPE	8-HEPE	9-HEPE	11-HEPE	12-HEPE	15(S)-HEPE	18-HEPE	4-HDoHE	7-HDoHE	8-HDoHE	10-HDoHE	11-HDoHE	13-HDoHE	14-HDoHE	16-HDoHE	17-HDoHE	20-HDoHE	9(10)-EpOME	12(13)-EpOME	5(6)-EpETrE	11(12)-EpETrE	14(15)-EpETrE	17(18)-EpETE	7(8)-EpDPE	10(11)-EpDPE	13(14)-EpDPE	16(17)-EpDPE	19(20)-EpDPE	9,10-DiHOME	12,13-DiHOME	8,9-DiHETrE	11,12-DiHETrE	14,15-DiHETrE	19,20-DiHDoPE	9-OxoODE	13-OxoODE	9-OxoOTrE	15-OxoEDE	5-oxoETE	15-OxoETE	LXA4	AT-RvD3	RvD6 (4,17-DiHDoHE)	PD1	10S,17S-DiHDoHE
PGE1	1.0	0.7471264367816092	0.08045977011494256	0.1954022988505748	0.0	0.022988505747126436	0.189655172413793	0.0	0.7298850574712645	0.0	0.0	0.07471264367816094	0.7471264367816092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05172413793103446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6954022988505747	0.3103448275862071	0.16666666666666677	0.005747126436781609	0.0	0.0	0.0	0.0	0.09195402298850575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.11494252873563218	0.0	0.0	0.0	0.0	0.0	0.7356321839080459	0.5344827586206902	0.0	0.0	0.0	0.0	0.1264367816091955	0.0862068965517242	0.0	0.5517241379310346	0.0	0.17241379310344837	0.0	0.0	0.01724137931034482	0.0	0.0
PGE2	0.7471264367816092	1.0	0.0	0.22413793103448293	0.0	0.0	0.0	0.0	0.9655172413793104	0.0	0.0	0.022988505747126436	0.9885057471264368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9252873563218391	0.4827586206896552	0.2011494252873564	0.011494252873563218	0.0	0.0	0.0	0.005747126436781609	0.10919540229885058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9770114942528736	0.6321839080459767	0.0	0.0	0.0	0.0	0.13793103448275867	0.0	0.0	0.7586206896551724	0.0	0.0	0.0	0.0	0.01724137931034482	0.0	0.0
15-keto PGE2	0.08045977011494256	0.0	1.0	0.10344827586206896	0.0	0.0	0.7816091954022989	0.0	0.0	0.0	0.0	0.4080459770114941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6551724137931032	0.0	0.2126436781609196	0.0	0.0	0.0	0.028735632183908046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09195402298850575	0.0	0.0	0.0	0.0	0.0	0.14942528735632188	0.028735632183908046	0.028735632183908046	0.028735632183908046	0.0	0.0	0.0	0.0	0.22988505747126453	0.0	0.028735632183908046	0.011494252873563218	0.0	0.0	0.005747126436781609	0.0	0.14942528735632188	0.0	0.0	0.0	0.0	0.0	0.0	0.05747126436781609	0.0	0.0	0.0	0.0	0.1379310344827586	0.8563218390804598	0.11494252873563227	0.0	0.028735632183908046	0.8103448275862069	0.0	0.0	0.2183908045977013	0.0	0.0
13,14dh-15k-PGE2	0.1954022988505748	0.22413793103448293	0.10344827586206896	1.0	0.0	0.0	0.005747126436781609	0.0	0.22413793103448276	0.0	0.0	0.6206896551724141	0.22988505747126428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3850574712643678	0.0	0.5977011494252875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20689655172413793	0.08620689655172425	0.9080459770114943	0.005747126436781609	0.0	0.0	0.0	0.0	0.8735632183908046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12068965517241381	0.0	0.0	0.04022988505747129	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20689655172413793	0.5114942528735632	0.0	0.0	0.0	0.0	0.8793103448275861	0.13218390804597704	0.08045977011494254	0.16666666666666677	0.0	0.0	0.0	0.0	0.7873563218390804	0.0	0.0
PGA2	0.0	0.0	0.0	0.0	1.0	0.13218390804597702	0.0	0.867816091954023	0.0	0.13218390804597702	0.0	0.0	0.0	0.13218390804597702	0.867816091954023	0.6206896551724141	0.0	0.0	0.07471264367816093	0.7931034482758621	0.0	0.13218390804597702	0.0	0.18390804597701163	0.0	0.867816091954023	0.0	0.0	0.0	0.7758620689655171	0.8620689655172413	0.7011494252873565	0.4540229885057471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.12643678160919541	0.13218390804597702	0.8620689655172413	0.0	0.867816091954023	0.0	0.0	0.0	0.005747126436781609	0.0	0.13218390804597702	0.017241379310344827	0.7183908045977013	0.8045977011494253	0.8160919540229884	0.8793103448275862	0.0	0.0	0.0	0.7241379310344829	0.0	0.8563218390804598	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.8275862068965517	0.867816091954023	0.0	0.4482758620689655	0.12643678160919541
PGE3	0.022988505747126436	0.0	0.0	0.0	0.13218390804597702	1.0	0.005747126436781609	0.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.9597701149425287	0.0	0.5057471264367817	0.0	0.0	0.0	0.0	0.0	0.9770114942528736	0.0	0.9137931034482759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9482758620689655	0.9770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.028735632183908035	0.0	0.9770114942528736	0.14367816091954025	0.0	0.0	0.0	0.08045977011494253	0.0	0.0	0.0	0.36206896551724144	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6264367816091954	0.9712643678160919
PGD2	0.189655172413793	0.0	0.7816091954022989	0.005747126436781609	0.0	0.005747126436781609	1.0	0.0	0.005747126436781609	0.0	0.0	0.2701149425287355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5229885057471264	0.0	0.04597701149425287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.02298850574712643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08045977011494258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25862068965517243	0.0	0.0	0.0	0.0	0.0	0.0	0.03448275862068965	0.0	0.0	0.0	0.0	0.02298850574712643	0.7471264367816092	0.011494252873563218	0.0	0.0	0.9482758620689655	0.0	0.0	0.08620689655172425	0.0	0.0
PGJ2	0.0	0.0	0.0	0.0	0.867816091954023	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.48850574712643646	0.0	0.0	0.10344827586206896	0.9252873563218391	0.0	0.0	0.0	0.06321839080459771	0.0	1.0	0.0	0.0	0.0	0.896551724137931	0.9942528735632183	0.8275862068965516	0.5459770114942526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.9942528735632183	0.0	1.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.8275862068965517	0.9252873563218391	0.9482758620689655	0.9195402298850575	0.0	0.0	0.0	0.6379310344827586	0.0	0.9885057471264368	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.9482758620689655	1.0	0.0	0.32183908045977033	0.0
D12-PGJ2	0.7298850574712645	0.9655172413793104	0.0	0.22413793103448276	0.0	0.0	0.005747126436781609	0.0	1.0	0.0	0.0	0.028735632183908046	0.9655172413793104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9022988505747126	0.48275862068965525	0.20114942528735633	0.005747126436781609	0.0	0.0	0.0	0.005747126436781609	0.10919540229885058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.9482758620689655	0.6034482758620686	0.0	0.005747126436781609	0.0	0.0	0.1379310344827586	0.0	0.0	0.7701149425287356	0.0	0.0	0.0	0.0	0.02298850574712643	0.0	0.0
13,14dh-15k-PGD2	0.0	0.0	0.0	0.0	0.13218390804597702	0.9770114942528736	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.5114942528735632	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9367816091954023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9712643678160919	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028735632183908035	0.0	1.0	0.12068965517241384	0.0	0.0	0.0	0.08045977011494253	0.0	0.0	0.0	0.36206896551724144	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6379310344827583	0.9942528735632183
