10-HDoHE	10S,17S-DiHDoHE	11-HDoHE	11-HETE	11(12)-EpETrE	11(R)-HEDE	12-HEPE	12-HETE	12,13-DiHOME	12(13)-EpOME	12(S)-HHTrE	13-HDoHE	13-HODE	13-OxoODE	13,14dh-15k-PGD2	13,14dh-15k-PGE2	13(S)-HOTrE	14-HDoHE	15-keto PGE2	15-OxoETE	15(S)-HEDE	15(S)-HEPE	16-HDoHE	17-HDoHE	18-HEPE	19,20-DiHDoPE	19(20)-EpDPE	20-HDoHE	4-HDoHE	5-HETE	5-oxoETE	5(6)-EpETrE	6kPGF1a	8-HDoHE	8(S)-HETrE	9-HEPE	9-HODE	9-OxoODE	9-OxoOTrE	9,10-DiHOME	9(S)-HOTrE	AT-RvD3	D12-PGJ2	PD1	PGA2	PGD2	PGE2	PGE3	PGF2a	PGJ2	RvD6 (4,17-DiHDoHE)	tetranor 12-HETE	TXB2
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	86
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	86	86	9	86	87	83	82	9	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	82	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	87	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	87	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	83	48	9	9	87	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	87	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	87	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	87	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	87	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	87	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	86	9	9	87	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	88	9	86	9	86	86	48	48	48	86	48	82	48	9	86	48
82	48	48	48	9	9	87	9	86	9	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	86
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	83	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	87	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	87	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	9	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	48	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	83	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	83	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	83	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	48	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	83	48	9	9	87	9	48	87	86	48	48	89	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	48	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	87	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	82	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	88	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	83	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	83	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	82	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	83	48	9	9	9	9	48	87	86	83	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	86	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	83	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	48	86	48	82	86	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	82	86	9	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	48	48	9	9	9	9	86	87	86	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	83	86	48	82	48	9	86	48
82	48	83	48	9	9	9	9	86	87	88	48	48	82	48	87	48	48	82	83	48	86	9	86	87	83	82	82	9	82	9	83	48	9	9	9	82	87	9	86	9	86	86	48	48	48	86	48	82	48	9	86	48
