	10-HDoHE	10S,17S-DiHDoHE	11-HDoHE	11-HETE	11(12)-EpETrE	11(R)-HEDE	12-HEPE	12-HETE	12,13-DiHOME	12(13)-EpOME	12(S)-HHTrE	13-HDoHE	13-HODE	13-OxoODE	13,14dh-15k-PGD2	13,14dh-15k-PGE2	13(S)-HOTrE	14-HDoHE	15-keto PGE2	15-OxoETE	15(S)-HEDE	15(S)-HEPE	16-HDoHE	17-HDoHE	18-HEPE	19,20-DiHDoPE	19(20)-EpDPE	20-HDoHE	4-HDoHE	5-HETE	5-oxoETE	5(6)-EpETrE	6kPGF1a	8-HDoHE	8(S)-HETrE	9-HEPE	9-HODE	9-OxoODE	9-OxoOTrE	9,10-DiHOME	9(S)-HOTrE	AT-RvD3	D12-PGJ2	PD1	PGA2	PGD2	PGE2	PGE3	PGF2a	PGJ2	RvD6 (4,17-DiHDoHE)	tetranor 12-HETE	TXB2
10-HDoHE	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	1.0	0.08045977011494254	0.0	0.0	0.14367816091954028	0.0	0.0	0.0	0.9942528735632183	0.9827586206896551	0.022988505747126436	0.9885057471264368	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0
10S,17S-DiHDoHE	0.0	1.0	0.7816091954022989	0.9885057471264368	0.0	0.0	0.0	0.0	0.04022988505747127	0.0	0.0	0.9655172413793104	0.9942528735632183	0.0	0.9885057471264368	0.0	0.9885057471264368	0.9885057471264368	0.0	0.005747126436781609	0.9655172413793104	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.586206896551724	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.9827586206896551	0.9827586206896551	0.08620689655172417	0.011494252873563218	0.9942528735632183	0.0	0.6896551724137931	0.0	0.0	0.9827586206896551
11-HDoHE	0.0	0.7816091954022989	1.0	0.7816091954022989	0.0	0.0	0.0	0.0	0.017241379310344824	0.0	0.0	0.7701149425287356	0.7873563218390804	0.0	0.7816091954022989	0.0	0.7816091954022989	0.7816091954022989	0.0	0.18390804597701144	0.7586206896551724	0.0	0.0	0.0	0.0	0.21264367816091953	0.0	0.0	0.0	0.005747126436781609	0.0	0.21264367816091953	0.4540229885057471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7758620689655171	0.7873563218390804	0.2701149425287354	0.011494252873563218	0.7873563218390804	0.005747126436781609	0.5574712643678164	0.0	0.0	0.7758620689655171
11-HETE	0.0	0.9885057471264368	0.7816091954022989	1.0	0.0	0.0	0.0	0.0	0.04022988505747127	0.0	0.0	0.9655172413793104	0.9942528735632183	0.0	0.9885057471264368	0.0	0.9885057471264368	0.9885057471264368	0.0	0.005747126436781609	0.9655172413793104	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.5919540229885056	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.9827586206896551	0.9827586206896551	0.08620689655172421	0.011494252873563218	0.9942528735632183	0.0	0.6954022988505746	0.0	0.0	0.9827586206896551
11(12)-EpETrE	0.0	0.0	0.0	0.0	1.0	0.9885057471264368	0.7988505747126436	1.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8563218390804596	0.0	0.011494252873563218	0.0	0.0	0.011494252873563218	0.9770114942528736	0.0	1.0	0.0	0.0	0.9770114942528736	1.0	0.9022988505747126	0.0	0.0	1.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0
11(R)-HEDE	0.0	0.0	0.0	0.0	0.9885057471264368	1.0	0.7988505747126435	0.9885057471264368	0.0	0.01724137931034482	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.8448275862068967	0.0	0.011494252873563218	0.0	0.0	0.011494252873563218	0.9655172413793104	0.0	0.9885057471264368	0.0	0.0	0.9655172413793104	0.9885057471264368	0.8908045977011494	0.0	0.011494252873563218	0.9885057471264368	0.0	0.9655172413793104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9712643678160919	0.0	0.0
12-HEPE	0.0	0.0	0.0	0.0	0.7988505747126436	0.7988505747126435	1.0	0.7988505747126436	0.0	0.19540229885057475	0.0	0.0	0.0	0.0	0.0	0.19540229885057472	0.0	0.0	0.0	0.0	0.0	0.0	0.6954022988505748	0.0	0.21264367816091953	0.0	0.0	0.005747126436781609	0.7758620689655172	0.0	0.7988505747126436	0.0	0.0	0.7873563218390807	0.7988505747126436	0.7586206896551724	0.0	0.20114942528735633	0.7988505747126436	0.0	0.7873563218390801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7931034482758621	0.0	0.0
12-HETE	0.0	0.0	0.0	0.0	1.0	0.9885057471264368	0.7988505747126436	1.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8563218390804596	0.0	0.011494252873563218	0.0	0.0	0.011494252873563218	0.9770114942528736	0.0	1.0	0.0	0.0	0.9770114942528736	1.0	0.9022988505747126	0.0	0.0	1.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0
12,13-DiHOME	0.0	0.04022988505747127	0.017241379310344824	0.04022988505747127	0.0	0.0	0.0	0.0	1.0	0.0	0.9540229885057471	0.028735632183908035	0.04022988505747127	0.0	0.04022988505747127	0.005747126436781609	0.04597701149425287	0.04022988505747127	0.0	0.0	0.0689655172413793	0.9597701149425287	0.0	0.9540229885057471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41379310344827586	0.0	0.0	0.0	0.0	0.0	0.0	0.9655172413793104	0.0	0.9597701149425287	0.9597701149425287	0.04022988505747127	0.05172413793103448	0.0	0.9482758620689655	0.04022988505747127	0.0	0.3333333333333333	0.0	0.9367816091954023	0.05172413793103448
12(13)-EpOME	0.0	0.0	0.0	0.0	0.005747126436781609	0.01724137931034482	0.19540229885057475	0.005747126436781609	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.9827586206896551	0.0	0.0	0.0	0.005747126436781609	0.0	0.005747126436781609	0.0	0.0	0.005747126436781609	0.005747126436781609	0.10344827586206896	0.0	0.9827586206896551	0.005747126436781609	0.0	0.028735632183908046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022988505747126436	0.017241379310344824	0.0
