d0_left	d0_right	d3_1mm	d3_2mm	d7_1mm	d7_2mm	d14_1mm	d14_2mm
PGE1	-0.155745954792322	-0.635104379613652	-0.469870273312101	-0.331335180367862	0.137817383985791	-0.481949397034209	-0.676434355462327	-0.469338885266827
PGE2	5.0657243656462	5.44820057806718	5.52255787096164	5.71079987430233	5.92666541028351	5.70331405968727	5.24187597334818	5.15264555432475
15-keto PGE2	1.24090544949615	1.39753763287691	0.21244307791375	0.0345035513336763	1.20514072284354	0.975306658681594	1.21455929564086	1.00145267660632
13,14dh-15k-PGE2	0.70495009801416	1.18112964987737	1.8725393332129	1.79115275565986	1.72995896155545	1.57885265000656	1.01233618333084	0.679223978707534
PGA2	0.767838154020602	0.406448577456367	0.703162820000124	1.03681258130442	1.75875540294868	1.3506323452875	1.05586754475743	1.39071624753294
PGE3	0.493526187423337	0.175951540793401	-0.436509387951502	-0.266556396904186	0.0321549134239232	-0.431920448522247	-0.799927065574256	-1.17390342004328
PGD2	3.16708838424542	3.36898422515398	3.50670177154575	3.39183511583581	4.60913805119977	4.3601292414267	3.83796291667493	3.89465293381213
PGJ2	0.3341147833151	-0.162325087859141	0.232335040083533	0.451128729412103	1.38135422427695	1.02976168991093	0.717924989060236	1.03058493893949
D12-PGJ2	-0.31786948844186	-0.794245461910588	-0.31068618334016	-0.524142156642333	0.615130409873977	0.136193297214007	-0.419200594683263	-0.104073480063275
13,14dh-15k-PGD2	1.82735293303422	1.63200435285358	1.04077407788456	1.12021721034709	1.71340776845584	1.16950936371304	0.692606543855548	0.847212805187585
PGF1a	-1.19054138245036	-1.2080291948158	-1.64824889454535	-1.66080263856592	-1.25344979591178	-1.55684933497116	-1.68861808595433	-1.80753005724291
PGF2a	3.2528608754608	3.67580262173382	2.90946845423948	2.75323936211417	3.46456343836682	3.35184148664441	3.26537911014948	3.17986445094492
15-keto PGF2a	1.45181082268024	1.67335397146891	1.50203367961769	1.54932427710737	1.91148601674468	1.55679192226196	1.51288612754255	1.22670710089699
8-isoPGF2a & 11bPGF2a	-0.845997109316334	-0.778653008022648	-1.20624813550596	-1.14238121000824	-0.901870382929136	-0.541949049214391	-0.776806158414195	-0.937261680591498
6kPGF1a	3.58455272285474	2.96499775135685	2.96979248271943	3.19293387037079	3.86178014727949	3.62533133317344	2.68521742507502	2.71909703399123
TXB2	3.41191934804675	2.783974362496	2.71516286678728	2.72559392429695	3.0939927118087	2.55593029567037	2.41394174975496	2.32863056825074
2,3-dinor TXB2	-1.26480711981787	-1.1304228021057	-1.49213467212705	-1.27500462755545	-1.67188417191629	-1.59864766997413	-0.921445661797431	-1.35749311619441
LTB4	0.119041131663105	-0.53408954235853	-0.464501077297535	-0.0337669424714551	0.0462165700397253	0.418032839056744	-0.251699291477306	-0.300663117729115
5(S),12(S)-DiHETE	1.7012967395873	1.48411131129673	2.12081892520658	2.29860878719299	2.18256567119276	2.65026040789063	2.30208480955183	2.491787168755
5(S),15(S)-DiHETE	-2.74318405677888	-1.87409109738829	-2.06414994363397	-1.98417898001543	-2.23810040282282	-2.12487030577543	-2.49978470659479	-2.12436387704498
9-HODE	6.45658744177291	6.78272344461107	6.73210976052733	6.5467802946971	6.77598763360978	6.71623905549053	7.29469974838522	7.25737552151947
13-HODE	9.96300184737715	9.71752777823106	9.78785963978947	9.58125205830915	9.90860040808455	9.59446878678395	10.1231313830347	9.90604270873713
9(S)-HOTrE	3.75290282062259	3.96332256598684	3.52882893880576	3.34831755995549	3.17599436748596	3.27640570210643	4.15081057423207	3.88783211369178
13(S)-HOTrE	6.10081732812779	5.2841835395804	5.47006666310151	5.10415047680152	6.49594542960704	5.53618997103902	5.96856084574063	5.47082978490955
11(R)-HEDE	1.73239039824512	1.66646975631556	2.66665883331083	2.83397827711344	1.94373103689457	2.34212823812596	2.22347644988153	2.30683759847221
15(S)-HEDE	1.41975208475701	0.946618886900682	2.50805589843457	2.3175762182903	2.09855722695748	1.79932074370291	1.70390169499704	1.54104551169297
8(S)-HETrE	1.1696129115567	1.4701723587172	2.01685568036634	1.89171274123209	0.928556783718297	1.61956903313076	1.95997602792724	2.22540686568628
5(S)-HETrE	-1.54480700466998	-1.58168289451034	-1.13426806455799	-1.18676080469923	-1.0182422953602	-1.03586884251677	-0.977844122240972	-0.479349552893729
5-HETE	4.19416726277387	4.2846682607334	5.15863174066749	5.2680954441422	4.70510603034249	5.06738372683188	4.87398407421992	5.33806469911036
8-HETE	3.9271186228089	3.32840076836537	4.48325894923713	4.32824335847509	4.28154340213946	4.16427563968132	3.98489071978459	4.01104292528389
11-HETE	6.42517871626398	6.41766952456863	6.79131845281686	6.99125656636346	6.76225078822655	6.87458090672579	6.45049708165115	6.66273653859856
12-HETE	9.9173200881273	9.140403461015	10.2924156578678	10.2792855417051	9.90786981194905	10.1668991242232	9.86091644413139	9.93601867474009
15-HETE	6.41369524851457	6.04488872785322	7.18348065768405	7.01088119990388	7.33165014127465	7.1598071281863	6.81750309647502	6.87327431936045
tetranor 12-HETE	1.25671720338056	1.26271332619081	1.2744438762533	1.17067673562527	1.88346463447346	1.0707130275261	1.19426479268607	0.40215269473313
12(S)-HHTrE	5.23061682927566	5.4438360507157	5.61800230578679	5.89436582162274	6.08882849726545	6.2430175937957	5.86287611823099	5.97638756073198
5-HEPE	2.42607923883819	2.79292170972893	2.58522006457804	2.60247630744734	2.24230655442158	2.24608047224141	2.48648240562868	2.27699969975242
8-HEPE	1.45910297738734	1.77459531358218	1.55707447007084	1.87874544256371	1.56901786240392	1.78698190316561	1.96451540830932	1.48280155525377
9-HEPE	3.66401856658083	3.02674236265231	3.35795816318833	3.58407499650703	2.4874495215363	3.22917443232028	3.57823325437899	3.47854082299167
11-HEPE	3.49301150865082	3.34658849250355	3.19059778147053	3.16116277480957	3.21035908229801	3.18758871415663	3.15550707008859	2.78481373240106
12-HEPE	8.46044130439205	7.94187961827139	8.05462680382433	8.16764723042258	7.40496554206937	8.05735299423344	8.25855660378201	8.071722778209
15(S)-HEPE	6.05645739657602	5.36824022219339	6.24989339242993	5.95196475881914	6.97394404814171	6.21481206534503	6.01578633056889	5.24078806467145
18-HEPE	2.8664638881391	3.46377586264343	2.66926297646933	2.48669730227766	3.07474626487128	3.06841506955921	3.19062971122	2.64693094506968
4-HDoHE	4.23691973978334	4.56496270392053	4.5511572123941	4.35072648658697	3.59613189322878	4.1535138289871	4.55037574011909	4.74566300001399
7-HDoHE	0.680264407653469	1.24528302474668	1.34802237773351	1.39513248868344	0.387486369859737	0.966289614618612	0.841150479369842	1.07347269457025
8-HDoHE	2.61803013169294	2.8094535907817	2.64092360281464	2.51123011030895	1.9496534534916	2.37134076971139	2.77071869717739	2.94346734660985
10-HDoHE	3.68531876201464	3.54124109772641	4.12206246044116	3.99894650164421	3.60558384572405	3.63031557463012	3.51496684157528	3.52145218615428
11-HDoHE	3.08097258265155	2.95601327903001	2.98712320220107	2.85177077828331	3.4923719655765	2.92959040938835	2.56294914078139	2.71327879812373
13-HDoHE	4.03199670034947	4.09764960778937	4.31158692742025	4.45541908924259	4.06897694359853	4.06642562909329	3.79813610172899	3.98646664764679
14-HDoHE	7.22446674947955	6.38700184627035	8.0099483280643	7.7984687311911	7.89603764808243	7.55087699827047	6.94631788789586	6.79675208369924
