d0	d3_1mm	d3_2mm	d7_1mm	d7_2mm	d14_1mm	d14_2mm
10-HDoHE	3.60527561518784	4.12206246044116	3.99894650164421	3.60558384572405	3.63031557463012	3.51496684157528	3.52145218615428
10S,17S-DiHDoHE	3.05527335522904	3.06140872537953	2.70399613227199	3.4132885969229	2.3546200583517	1.83343628887676	1.72725372429215
11-HDoHE	3.01155074730625	2.98712320220107	2.85177077828331	3.4923719655765	2.92959040938835	2.56294914078139	2.71327879812373
11-HETE	6.4210069430999	6.79131845281686	6.99125656636346	6.76225078822655	6.87458090672579	6.45049708165115	6.66273653859856
11(12)-EpETrE	0.699891380999596	0.948249731259223	1.19616501835752	0.415247823398421	0.971234222439459	0.90257056057421	1.21204766645768
11(R)-HEDE	1.69576781939536	2.66665883331083	2.83397827711344	1.94373103689457	2.34212823812596	2.22347644988153	2.30683759847221
12-HEPE	8.17235147876946	8.05462680382433	8.16764723042258	7.40496554206937	8.05735299423344	8.25855660378201	8.071722778209
12-HETE	9.48569973973157	10.2924156578678	10.2792855417051	9.90786981194905	10.1668991242232	9.86091644413139	9.93601867474009
12,13-DiHOME	3.25649347258268	2.06492654076972	2.15802957292581	2.63262271677648	2.68260898608523	2.94227381296202	3.02759135041127
12(13)-EpOME	3.32282369448402	2.97835511485469	3.04857094206956	2.90344411397911	3.1386648776856	3.46702951698663	3.07895934717727
12(S)-HHTrE	5.3490719522979	5.61800230578679	5.89436582162274	6.08882849726545	6.2430175937957	5.86287611823099	5.97638756073198
13-HDoHE	4.06847053781608	4.31158692742025	4.45541908924259	4.06897694359853	4.06642562909329	3.79813610172899	3.98646664764679
13-HODE	9.82662736451821	9.78785963978947	9.58125205830915	9.90860040808455	9.59446878678395	10.1231313830347	9.90604270873713
13-OxoODE	7.78234017321058	7.22822563663409	6.93901926233548	7.14301106005714	7.07631619794437	7.99689377176451	7.99304807615701
13,14dh-15k-PGD2	1.71882594404497	1.04077407788456	1.12021721034709	1.71340776845584	1.16950936371304	0.692606543855548	0.847212805187585
13,14dh-15k-PGE2	0.96949429349372	1.8725393332129	1.79115275565986	1.72995896155545	1.57885265000656	1.01233618333084	0.679223978707534
13(S)-HOTrE	5.64713189004591	5.47006666310151	5.10415047680152	6.49594542960704	5.53618997103902	5.96856084574063	5.47082978490955
14-HDoHE	6.75920846991888	8.0099483280643	7.7984687311911	7.89603764808243	7.55087699827047	6.94631788789586	6.79675208369924
15-keto PGE2	1.32792332915213	0.21244307791375	0.0345035513336763	1.20514072284354	0.975306658681594	1.21455929564086	1.00145267660632
15-OxoETE	2.36102313640743	1.89223554808129	0.775225433033041	1.13278518663628	0.947406657900813	0.547947539250914	0.974290916036524
15(S)-HEDE	1.15690030817016	2.50805589843457	2.3175762182903	2.09855722695748	1.79932074370291	1.70390169499704	1.54104551169297
